,Tmc,Direction,stationid,highwayid,RoadNumb_1,direction,bound,standardized_direction_portal,standardized_direction_inrix,StartLat,StartLong,milepost,lon,lat,highwayname
4494,114-04399,Southbound,3105,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.54098,-122.56271,21.68,-122.564387394954,45.5348513160268,I-205
4494,114-04399,Southbound,3105,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.54098,-122.56271,21.68,-122.564387394954,45.5348513160268,I-205
4494,114-04399,Southbound,3105,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.54098,-122.56271,21.68,-122.564387394954,45.5348513160268,I-205
4494,114-04399,Southbound,3105,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.54098,-122.56271,21.68,-122.564387394954,45.5348513160268,I-205
5059,114-04458,Southbound,1032,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.55668,-122.6787,304.08,-122.67898,45.55758,I-5
5059,114-04458,Southbound,1032,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.55668,-122.6787,304.08,-122.67898,45.55758,I-5
5059,114-04458,Southbound,1032,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.55668,-122.6787,304.08,-122.67898,45.55758,I-5
5059,114-04458,Southbound,1032,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.55668,-122.6787,304.08,-122.67898,45.55758,I-5
5074,114P04401,Northbound,3106,3,I-205,NORTH,NB,NORTH,NORTH,45.55464,-122.56656,23.27,-122.566777608373,45.5556155337891,I-205
5074,114P04401,Northbound,3106,3,I-205,NORTH,NB,NORTH,NORTH,45.55464,-122.56656,23.27,-122.566777608373,45.5556155337891,I-205
5074,114P04401,Northbound,3106,3,I-205,NORTH,NB,NORTH,NORTH,45.55464,-122.56656,23.27,-122.566777608373,45.5556155337891,I-205
6207,114P04457,Northbound,3170,5,I-5,NORTH,NB,NORTH,NORTH,45.54053,-122.67135,4.2,-122.678246868194,45.5471890857937,I-405
6207,114P04457,Northbound,3170,5,I-5,NORTH,NB,NORTH,NORTH,45.54053,-122.67135,4.2,-122.678246868194,45.5471890857937,I-405
6788,114N04459,Southbound,1032,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.56342,-122.67874,304.08,-122.67898,45.55758,I-5
6788,114N04459,Southbound,1032,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.56342,-122.67874,304.08,-122.67898,45.55758,I-5
6788,114N04459,Southbound,1032,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.56342,-122.67874,304.08,-122.67898,45.55758,I-5
6788,114N04459,Southbound,1032,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.56342,-122.67874,304.08,-122.67898,45.55758,I-5
6789,114N04463,Southbound,1147,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.59867,-122.68443,306.6,-122.683343252799,45.5931056629332,I-5
6789,114N04463,Southbound,1147,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.59867,-122.68443,306.6,-122.683343252799,45.5931056629332,I-5
7197,114P04403,Northbound,230,3,I-205,NORTH,NB,NORTH,NORTH,45.56694,-122.55482,24.82,-122.54757,45.57207,I-205
8202,114-04398,Southbound,1143,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.52751,-122.56546,21.12,-122.565532404858,45.5229274394201,I-205
8202,114-04398,Southbound,1143,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.52751,-122.56546,21.12,-122.565532404858,45.5229274394201,I-205
8202,114-04398,Southbound,1143,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.52751,-122.56546,21.12,-122.565532404858,45.5229274394201,I-205
8266,114-04456,Southbound,3121,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54219,-122.67332,302.51,-122.668429429404,45.5367496273398,I-5
8266,114-04456,Southbound,3121,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54219,-122.67332,302.51,-122.668429429404,45.5367496273398,I-5
8266,114-04456,Southbound,1034,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54219,-122.67332,303.1,-122.675926374065,45.544363941229,I-5
